Tag;
<a;
href=;
rel=;
target=;
</a>;
<abbr;
</abbr>;
<div;
</div>;
<span;
</span>;
<html;
</html>;
<head;
</head>;
<body;
</body>;
<ul;
</ul>;
<ol;
</ol>;
<lh;
</lh>;
<li;
</li>;
<table;
</table>;
<input;
type=;
<meta;
http-equiv;
name= ;
content=;
charset=;
<title;
</title>;
<thead;
</thead>;
<dir;
</dir>;
<tbody;
</tbody>;
<tr;
</tr>;
<th;
</th>;
<pre;
</pre>;
<p;
</p>;
<nav;
</nav>;
<main;
</main>;
<header;
</header>;
<h1;
</h1>;
<h2;
</h2>;
<h3;
</h3>;
<h4;
</h4>;
<h5;
</h5>;
<h6;
</h6>;
<footer;
</footer>;
<i;
</i>;
<b;
</b>;
<u;
</u>;
<style;
</style>;
<link;
type=;
<img;
src=;
alt=;
srcset=;
width=;
height=;
<q;
</q>;
<script;
defer>;
</script>;
