Word;Count;Points
black;51;0
camiseta;29;0
mujer;18;0
punto;18;0
hombre;14;0
white;12;0
night;11;0
sky;10;0
marketing;8;0
blue;8;0
melange;8;0
niño;8;0
entrenamiento;7;0
ropa;7;0
dark;6;0
multicolor;6;0
navy;6;0
manga;6;0
jet;6;0
capucha;6;0
look;5;0
colección;5;0
bright;4;0
scarlet;4;0
bikini;4;0
pedido;4;0
singlet;4;0
the;4;0
-20;4;0
tiendas;4;0
running;4;0
selección;3;0
fuerza;3;0
deporte;3;0
artículos;3;0
baño;3;0
tarjetas;3;0
fútbol;3;0
regalo;3;0
moda;3;0
